Koide Q scan — all quark triplets with sign and inverse variations
Target Q = 2/3 = 0.666667
Quark masses (PDG 2024 MSbar, MeV): u=2.16, d=4.67, s=93.4, c=1270, b=4183, t=162500

Total cases enumerated: 623
  Dimensionally valid   (n_inv=0 or 3, all MeV^{+/-1/2}): 151
  Dimensionally INVALID (n_inv=1 or 2, mixes MeV^{+1/2} and MeV^{-1/2}): 472 [marked *]

NOTE: Mixed triples (n_inv=1 or 2) sum sqrt(m) and 1/sqrt(m) with
      incompatible dimensions -- Q has no physical meaning for these.
      UNIT DEPENDENCE TEST: Q(s,c,1/b) = 0.6639 in MeV but 0.4340 in GeV.
      The 'near-2/3' values for mixed triples are a MeV-unit artifact.
      All-direct and all-inverse Q values are unit-independent (scale-invariant).

Legend:
  1/x  = inverse mass used for quark x
  -x   = negative sqrt (sign flip in Koide root)
  n_inv = number of inverted quarks, n_neg = number with negative sqrt
  *    = dimensionally invalid (mixed direct and inverse)

Rank  Triplet                                   Q      |Q-2/3|  n_inv  n_neg   dim
143   (s, c, b)                          0.458567     0.208099      0      0   ok
144   (1/u, s, 1/t)                      0.876685     0.210018      2      0   * 
145   (1/u, s, -1/t)                     0.877526     0.210859      2      1   * 
146   (1/u, s, -1/b)                     0.879735     0.213068      2      1   * 
147   (u, 1/s, -1/t)                     0.879880     0.213214      2      1   * 
148   (1/u, s, -1/c)                     0.881890     0.215224      2      1   * 
149   (1/d, 1/c, 1/t)                    0.883266     0.216600      3      0   ok
150   (1/u, 1/c, 1/b)                    0.885335     0.218668      3      0   ok
151   (d, 1/s, c)                        0.887335     0.220668      1      0   * 
152   (s, -c, -t)                        0.890008     0.223342      0      2   ok
153   (d, 1/s, 1/c)                      0.890730     0.224063      2      0   * 
154   (1/u, 1/d, 1/s)                    0.442576     0.224091      3      0   ok
155   (d, c, 1/b)                        0.891463     0.224796      1      0   * 
156   (d, c, 1/t)                        0.892075     0.225408      1      0   * 
157   (d, c, -1/t)                       0.892309     0.225642      1      1   * 
158   (d, c, -1/b)                       0.892923     0.226256      1      1   * 
159   (u, 1/s, -1/b)                     0.894702     0.228036      2      1   * 
160   (d, -1/s, c)                       0.897104     0.230438      1      1   * 
161   (u, d, b)                          0.897983     0.231316      0      0   ok
162   (c, -b, -t)                        0.899321     0.232655      0      2   ok
163   (d, 1/s, 1/b)                      0.900496     0.233830      2      0   * 
164   (1/d, 1/c, -1/t)                   0.901306     0.234639      3      1   ok
165   (u, 1/d, c)                        0.901455     0.234788      1      0   * 
166   (1/d, s, 1/c)                      0.907759     0.241092      2      0   * 
167   (u, 1/s, -1/c)                     0.909582     0.242916      2      1   * 
168   (1/d, s, 1/b)                      0.910010     0.243343      2      0   * 
169   (d, 1/s, 1/t)                      0.910793     0.244126      2      0   * 
170   (1/d, s, 1/t)                      0.912342     0.245675      2      0   * 
171   (1/d, s, -1/t)                     0.913236     0.246569      2      1   * 
172   (d, 1/s, -1/t)                     0.914793     0.248126      2      1   * 
173   (1/d, s, -1/b)                     0.915584     0.248918      2      1   * 
174   (1/u, 1/c, 1/t)                    0.917499     0.250832      3      0   ok
175   (1/d, s, -1/c)                     0.917876     0.251209      2      1   * 
176   (1/u, d, b)                        0.918728     0.252062      1      0   * 
177   (u, 1/s, c)                        0.918800     0.252133      1      0   * 
178   (u, c, 1/b)                        0.923154     0.256487      1      0   * 
179   (u, c, 1/t)                        0.923800     0.257133      1      0   * 
180   (u, c, -1/t)                       0.924047     0.257380      1      1   * 
181   (u, c, -1/b)                       0.924694     0.258027      1      1   * 
182   (d, 1/s, -1/b)                     0.925429     0.258763      2      1   * 
183   (1/u, -d, -c)                      0.925538     0.258871      1      2   * 
184   (1/d, 1/b, 1/t)                    0.927802     0.261135      3      0   ok
185   (u, -1/s, c)                       0.929105     0.262439      1      1   * 
186   (1/u, 1/c, -1/t)                   0.930440     0.263773      3      1   ok
187   (d, 1/s, b)                        0.934532     0.267866      1      0   * 
188   (u, -d, -s)                        0.934629     0.267963      0      2   ok
189   (d, 1/s, -1/c)                     0.935995     0.269329      2      1   * 
190   (d, 1/c, b)                        0.936639     0.269972      1      0   * 
191   (d, b, 1/t)                        0.937356     0.270689      1      0   * 
192   (d, b, -1/t)                       0.937495     0.270829      1      1   * 
193   (d, -1/c, b)                       0.938213     0.271547      1      1   * 
194   (1/u, 1/d, c)                      0.939305     0.272638      2      0   * 
195   (d, -1/s, b)                       0.940337     0.273671      1      1   * 
196   (u, 1/d, b)                        0.943353     0.276686      1      0   * 
197   (u, 1/c, 1/b)                      0.943753     0.277086      2      0   * 
198   (d, s, t)                          0.944384     0.277717      0      0   ok
199   (1/d, 1/b, -1/t)                   0.947255     0.280588      3      1   ok
